zone,cluster,n_changes,n_strong_relations,summary
22,1,15,0,NDVI decrease 2020->2021 (Δ=-37.38); NDWI decrease 2020->2021 (Δ=-44.50); EVI decrease 2020->2021 (Δ=-12.57); NDVI increase 2021->2022 (Δ=81.63); NDWI increase 2021->2022 (Δ=53.65); EVI increase 2021->2022 (Δ=20.14); NDVI decrease 2022->2023 (Δ=-54.11); NDWI decrease 2022->2023 (Δ=-42.30); EVI decrease 2022->2023 (Δ=-2.30); NDVI increase 2023->2024 (Δ=39.82); NDWI increase 2023->2024 (Δ=33.97); EVI increase 2023->2024 (Δ=17.21); NDVI decrease 2024->2025 (Δ=-61.09); NDWI decrease 2024->2025 (Δ=-144.39); EVI decrease 2024->2025 (Δ=-13.95); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
23,0,0,0,no strong pattern
24,1,13,0,NDVI decrease 2020->2021 (Δ=-23.90); NDWI decrease 2020->2021 (Δ=-13.36); EVI increase 2020->2021 (Δ=5.05); NDVI increase 2021->2022 (Δ=45.80); NDWI increase 2021->2022 (Δ=14.31); EVI increase 2021->2022 (Δ=7.49); NDVI decrease 2022->2023 (Δ=-29.59); NDWI decrease 2022->2023 (Δ=-21.84); EVI decrease 2022->2023 (Δ=-5.24); NDVI increase 2023->2024 (Δ=2.85); EVI increase 2023->2024 (Δ=7.64); NDWI decrease 2024->2025 (Δ=-85.77); EVI decrease 2024->2025 (Δ=-8.79); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; EVI rise; water-content loss; EVI drop
25,0,0,0,no strong pattern
26,0,0,1,EVI(t) -> NDVI(t+1) r=0.97 p=0.022
27,1,14,0,NDVI decrease 2020->2021 (Δ=-138.01); NDWI decrease 2020->2021 (Δ=-108.39); EVI increase 2020->2021 (Δ=66.77); NDVI increase 2021->2022 (Δ=177.20); NDWI increase 2021->2022 (Δ=115.22); EVI decrease 2021->2022 (Δ=-3.75); NDVI decrease 2022->2023 (Δ=-45.30); NDWI decrease 2022->2023 (Δ=-72.64); EVI decrease 2022->2023 (Δ=-36.60); NDVI increase 2023->2024 (Δ=39.03); NDWI increase 2023->2024 (Δ=24.04); EVI increase 2023->2024 (Δ=38.77); NDVI decrease 2024->2025 (Δ=-69.51); NDWI decrease 2024->2025 (Δ=-54.33); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
28,3,15,1,NDVI decrease 2020->2021 (Δ=-20.65); NDWI decrease 2020->2021 (Δ=-7.33); EVI increase 2020->2021 (Δ=4.58); NDVI increase 2021->2022 (Δ=13.88); NDWI decrease 2021->2022 (Δ=-37.79); EVI decrease 2021->2022 (Δ=-36.17); NDVI decrease 2022->2023 (Δ=-11.58); NDWI increase 2022->2023 (Δ=22.94); EVI increase 2022->2023 (Δ=37.65); NDVI decrease 2023->2024 (Δ=-17.88); NDWI decrease 2023->2024 (Δ=-21.79); EVI increase 2023->2024 (Δ=8.89); NDVI decrease 2024->2025 (Δ=-1.77); NDWI decrease 2024->2025 (Δ=-44.39); EVI decrease 2024->2025 (Δ=-10.59); NDVI(t) -> NDWI(t+1) r=0.99 p=0.014; vegetation loss; water-content loss; EVI rise; vegetation gain; water-content loss; EVI drop; vegetation loss; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise; vegetation loss; water-content loss; EVI drop
29,1,14,0,NDVI decrease 2020->2021 (Δ=-73.54); NDWI decrease 2020->2021 (Δ=-35.19); EVI increase 2020->2021 (Δ=14.07); NDVI increase 2021->2022 (Δ=135.39); NDWI increase 2021->2022 (Δ=52.71); EVI increase 2021->2022 (Δ=11.80); NDVI decrease 2022->2023 (Δ=-93.09); NDWI decrease 2022->2023 (Δ=-53.95); EVI decrease 2022->2023 (Δ=-10.88); NDVI increase 2023->2024 (Δ=58.95); NDWI increase 2023->2024 (Δ=42.23); NDVI decrease 2024->2025 (Δ=-38.51); NDWI decrease 2024->2025 (Δ=-94.45); EVI increase 2024->2025 (Δ=9.45); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; vegetation loss; water-content loss; EVI rise
30,1,14,0,NDVI decrease 2020->2021 (Δ=-137.35); NDWI decrease 2020->2021 (Δ=-49.03); EVI increase 2020->2021 (Δ=12.15); NDVI increase 2021->2022 (Δ=128.55); NDWI increase 2021->2022 (Δ=52.05); EVI increase 2021->2022 (Δ=3.97); NDVI increase 2022->2023 (Δ=3.22); NDWI decrease 2022->2023 (Δ=-17.29); EVI decrease 2022->2023 (Δ=-2.39); NDWI increase 2023->2024 (Δ=21.03); EVI increase 2023->2024 (Δ=5.12); NDVI decrease 2024->2025 (Δ=-53.53); NDWI decrease 2024->2025 (Δ=-139.58); EVI decrease 2024->2025 (Δ=-4.51); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation gain; water-content loss; EVI drop; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
31,1,14,2,NDVI decrease 2020->2021 (Δ=-56.32); NDWI decrease 2020->2021 (Δ=-75.47); EVI decrease 2020->2021 (Δ=-5.43); NDVI increase 2021->2022 (Δ=87.12); NDWI increase 2021->2022 (Δ=74.81); EVI increase 2021->2022 (Δ=19.48); NDVI decrease 2022->2023 (Δ=-42.59); NDWI decrease 2022->2023 (Δ=-35.78); EVI decrease 2022->2023 (Δ=-18.86); NDVI increase 2023->2024 (Δ=3.98); NDWI increase 2023->2024 (Δ=28.77); EVI increase 2023->2024 (Δ=8.50); NDVI decrease 2024->2025 (Δ=-11.03); NDWI decrease 2024->2025 (Δ=-93.48); NDVI(t) -> EVI(t+1) r=-0.90 p=0.042; NDWI(t) -> EVI(t+1) r=-0.89 p=0.032; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
